secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
4301,48,109,26.1221,14.688,0,126,105.6,-1.68271000,53.82734400,0,3.55677,10,0,-255,0,0,0,0,0,0,0,0
4302,48,109,26.1259,14.4288,0,142,105.8,-1.68266000,53.82732900,0,4.08308,10,0,-255,0,0,0,0,0,0,0,0
4303,44,109,26.1296,14.0544,0,149,106,-1.68261000,53.82731400,0,4.14743,10,0,-255,0,0,0,0,0,0,0,0
4304,40,109,26.1332,13.5144,0,144,106.2,-1.68256200,53.82729900,0,4.11475,10,0,-255,0,0,0,0,0,0,0,0
4305,52,109,26.1367,13.3776,0,131,106.2,-1.68251500,53.82728400,0,4.11475,10,0,-255,0,0,0,0,0,0,0,0
4306,54,109,26.1398,12.7512,0,140,106.4,-1.68247200,53.82727200,0,4.27211,10,0,-255,0,0,0,0,0,0,0,0
4307,55,110,26.1432,12.4632,0,148,106.6,-1.68242600,53.82725700,0,4.37254,10,0,-255,0,0,0,0,0,0,0,0
4308,56,109,26.1466,12.2472,0,147,106.6,-1.68237900,53.82724600,0,3.89635,10,0,-255,0,0,0,0,0,0,0,0
4309,56,109,26.15,12.1176,0,145,106.8,-1.68233300,53.82723300,0,4.48458,10,0,-255,0,0,0,0,0,0,0,0
4310,56,109,26.1535,12.1464,0,149,107,-1.68228600,53.82721700,0,4.51547,10,0,-255,0,0,0,0,0,0,0,0
4311,56,109,26.157,12.3768,0,156,107,-1.68224400,53.82719700,0,4.01547,10,0,-255,0,0,0,0,0,0,0,0
4312,57,109,26.1616,13.2192,0,169,107.2,-1.68219100,53.82717200,0,3.92394,10,0,-255,0,0,0,0,0,0,0,0
4313,59,109,26.1657,13.788,0,181,107.4,-1.68213700,53.82715400,0,3.8712,10,0,-255,0,0,0,0,0,0,0,0
4314,61,109,26.1694,13.9968,0,186,107.6,-1.68208700,53.82713800,0,3.85619,10,0,-255,0,0,0,0,0,0,0,0
4315,61,109,26.173,14.0328,0,152,107.6,-1.68204100,53.82711800,0,3.85619,10,0,-255,0,0,0,0,0,0,0,0
4316,61,109,26.1767,14.1768,0,121,107.8,-1.68199600,53.82709900,0,3.75157,10,0,-255,0,0,0,0,0,0,0,0
4317,61,109,26.1803,13.4784,0,106,108,-1.68195500,53.82708000,0,3.71889,10,0,-255,0,0,0,0,0,0,0,0
4318,60,109,26.1837,12.9672,0,96,108,-1.68191500,53.82706000,0,3.71889,10,0,-255,0,0,0,0,0,0,0,0
